covidence_id,title,human_decision_current,human_exclusion_reason,agent_decision,agent_exclusion_reason,agent_confidence,agent_rationale
#1310,Empowering health sovereignty in Africa through innovations for self-reliant healthcare,Include,,Exclude,No implementation context,0.8,"The abstract discusses a narrative review that analyzes various innovations in African healthcare, including AI-enabled diagnostics. However, it lacks specific details about real-world implementation of AI/ML tools in primary care settings. Additionally, the responsible AI dimension is not explicitly addressed."
#1519,Bridging the Gap: A Community Driven and AI-Enabled Approach to Early Breast Cancer Detection in Black African Women,Uncertain,,Exclude,No implementation context,0.8,"The study describes the development of machine learning approaches for early breast cancer detection in sub-Saharan Africa but lacks evidence of implementation. The abstract focuses on dataset collection and methods development without detailing the deployment of an ML tool in a real-world primary care setting. Additionally, there is no mention of responsible AI dimensions such as fairness or accountability."
#1520,Barriers and Facilitators for Implementing Digital Interventions for Anxiety and Depression in Latin America: A Scoping Review,Uncertain,,Exclude,Ineligible study type,0.95,"The record is a scoping review of digital mental health interventions in Latin America, which focuses on barriers and facilitators of implementation rather than describing AI or ML interventions. There is no mention of AI or ML technology being a part of the digital interventions being reviewed, nor is there a focus on responsible AI dimensions."
#1529,Here’s how we can avoid an AI divide in health care,Include,,Exclude,Ineligible study type,0.9,"The abstract does not provide any specific details on AI/ML implementation in primary care settings, nor does it describe any empirical study, policy document, or framework. It appears to be an opinion piece or commentary on the topic of AI and inequalities."
#1532,Medbot: Conversational artificial intelligence powered chatbot for delivering tele-health after covid-19,Include,,Exclude,No responsible AI dimension,0.9,"The abstract describes a multilingual conversational bot using natural language processing (NLP) for telehealth in rural India, indicating the use of AI/ML. However, there is no mention of responsible AI dimensions such as fairness, transparency, accountability, or privacy considerations. Additionally, the setting as primary care is met, and the abstract indicates the technology was implemented in rural India, aligning with LMIC geography. Since responsible AI dimensions are absent, the record is excluded."
#1604,Artificial Intelligence Anxiety of Family Physicians in Turkey,Uncertain,,Exclude,No implementation context,0.95,"The study focuses on evaluating the anxiety of family physicians in Turkey regarding AI but does not discuss the implementation of any specific AI/ML technology in primary care. There is no evidence of real-world deployment of AI in primary care settings, nor is there any mention of AI systems addressing responsible AI dimensions. Thus, it does not meet the inclusion criteria for implementation or responsible AI considerations."
#1792,Business requirement document - child heath in emergencies - digital platform,Uncertain,,Exclude,Not AI/ML implementation,0.95,"The abstract describes a digital platform primarily using SMART guidelines and decision-support algorithms for child health in emergencies. It mentions potential future phases with 'AI-based decision support,' but there is no indication of current AI/ML techniques being implemented. It appears to be predominantly rule-based following WHO standards, and there's no empirical study or data on AI deployment."
#1793,Health policy and administration in low-resource settings: a review of challenges and opportunities,Uncertain,,Exclude,No implementation context,0.9,"The abstract discusses various health administration challenges and opportunities in low-resource settings but does not indicate specific implementation of AI/ML in primary care. While AI is mentioned as an opportunity, there is no detailed description of its deployment or use in the primary care setting in LMICs."
#1810,Telemedicine in the driver's seat: new role for primary care access in Brazil and Canada,Include,,Exclude,Population exclusively in high-income countries,0.9,"The abstract indicates a comparison of telemedicine programs between Brazil and Canada, with a focus on scaling and improving telemedicine implementation. However, Canada's primary care setting, not being LMIC, makes the population component of the criteria not met. Furthermore, while artificial intelligence technologies are mentioned conceptually, there is no evidence of AI or ML specific implementation in a primary care context within LMICs."
#226,Bias-Mitigated AI as a Foundation for Resilient and Effective Health Systems.,Uncertain,,Exclude,No implementation context,0.9,"The abstract discusses algorithmic bias in AI for health care, emphasizing governance and policy recommendations. However, it lacks evidence of real-world AI/ML deployment in primary care settings. Additionally, specific LMIC primary care implementation details are not provided."
#401,Family Planning Counseling in Your Pocket: A Mobile Job Aid for Community Health Workers in Tanzania.,Uncertain,,Exclude,"Tool is rule-based, not AI/ML",0.95,"The abstract describes the use of a mobile job aid featuring family planning algorithms without reference to machine learning or artificial intelligence, which indicates a rule-based system. Furthermore, there is no mention of any responsible AI dimension being addressed. The setting is in a LMIC, but it does not meet the AI/ML criteria."
#461,AI-Assisted Cardiovascular Risk Assessment by General Practitioners in Resource-Constrained Indonesian Settings Using a Conceptual Prototype: Randomized  Controlled Study.,Uncertain,,Include,,0.85,"The study involves the implementation of AI in primary care settings in Indonesia, an LMIC. It evaluates a conceptual prototype of AI-based CDS for risk assessment in general practitioners, focusing on real-world implications such as clinical outcomes (risk assessment and management decisions) and engagement with responsible AI dimensions (perceptions about AI utility and its integration into clinical practice). Despite being a controlled study using vignettes, it addresses performance and potential application in resource-constrained environments."
#481,Automated microscopy for routine malaria diagnosis: a field comparison on Giemsa-stained blood films in Peru.,Uncertain,,Include,,0.85,"The abstract describes the implementation of an AI/ML algorithm for automated image recognition using convolutional neural networks to aid in malaria diagnosis in primary care settings in Peru, an LMIC. It includes an empirical evaluation of the Autoscope device in real-world clinics with consideration of sensitivity and specificity as outcomes, addressing responsible AI principles such as accuracy. Although the responsible AI dimension is not explicitly mentioned in terms of fairness or transparency, the study's focus on diagnostic accuracy suggests engagement with safety and reliability aspects."
#504,Patient Navigation Behavior in a Symptom-Based Self-Triage Mobile App for Direct-to-Consumer Urgent Care: Retrospective Observational Study.,Include,,Exclude,"Tool is rule-based, not AI/ML",0.95,"The study describes user interaction with a symptom-based self-triage mobile app, which implies a rule-based system rather than AI/ML. The abstract discusses user navigation and statistical analysis but does not mention any AI or ML techniques. Additionally, the setting is a private hospital in Brazil, which is not clearly described as LMIC primary care."
#616,Deployment of a machine learning-based predictive system for childhood diarrhea in Sub-Saharan Africa.,Uncertain,,Include,,0.9,"The study discusses the deployment of a machine learning-based predictive system for childhood diarrhea in Sub-Saharan Africa, indicating a real-world application. It employs a Random Forest classifier, aligning with the AI/ML technology requirement, and suggests a focus on practical implementation ready for public health decision-making. Although direct responsible AI dimensions are not explicitly mentioned, the reference to future work on enhancing model interpretability and field validation hints at engaging with these principles."
#637,"Global eye care frameworks: a review of strategies, gaps, and recommendations for equitable access.",Include,,Exclude,No responsible AI dimension,0.95,"The abstract discusses eye care frameworks and mentions the use of technology like tele-ophthalmology and AI. However, it does not specify any AI/ML implementation or describe responsible AI principles such as fairness, transparency, or ethics. The focus is on global strategies and policy recommendations rather than specific AI deployments in LMIC primary care settings."
#639,Models of global primary care post-2030.,Include,,Exclude,Ineligible study type,0.9,"The abstract describes a viewpoint arguing for new primary care models and warns about potential pitfalls of adopting AI without addressing responsible AI dimensions. It lacks empirical data, and there is no specific mention of AI/ML implementation in primary care settings. It appears to be an editorial-style piece rather than a study documenting implementation or evaluation."
